,id,name,depth,parentCategoryId
0,2707,VPS Services,2,2704
1,2710,Signet VPS Services,3,2707
2,2713,VPS Services,4,2710
3,2725,Blade VPS Add-ons,3,2722
4,2728,BladeVPS Product Add-ons,4,2725
5,2755,VPS Specific Add-ons,4,2725
6,2809,Licenses,3,2722
7,2821,Control Panel Resale,4,2809
8,2905,DirectAdmin,4,4754
9,2908,Other Licenses,4,4745
10,2911,Plesk,4,4757
11,2914,Sophos,4,4748
12,2920,VPS Product Add-ons,4,2917
13,2923,Signet VPS Add-ons,3,2722
14,2926,VPS Spec Add-ons,4,2923
15,2938,Blade VPS,3,2935
16,2941,Internal use VPS,4,2938
17,3010,MKE VPS,4,3007
18,3013,Openstack,3,5093
19,3016,Other VPS,3,2935
20,3022,VPS,3,4946
21,3025,Signet VPS,3,2935
22,3046,Domain & Shared Hosting,1,0
23,3049,Domain,2,3046
24,3052,Domain registration others,3,4688
25,3103,Domains .be,3,4688
26,3115,Domains .com,3,4688
27,3127,Domains .eu,3,4688
28,3139,Domains .nl,3,4688
29,3151,Other Domain services,3,3049
30,3154,CHOWN,4,4700
31,3157,DNS Only,4,3151
32,3160,Redemption,4,4703
33,3163,Trustee servicve,4,4706
34,3166,Whitelabel,4,4709
35,3169,Legacy,3,3643
36,3172,Subdomains,3,3049
37,3175,Subdomains,4,3172
38,3184,E-mail,2,4865
39,3190,E-mail,4,4579
40,3208,Forwarding,2,3046
41,3211,Forwarding,3,4691
42,3214,Forwarding,4,3211
43,3217,SSL Certificates,2,4718
44,3223,SSL DV,4,3220
45,3226,SSL DV Wildcard,4,3220
46,3229,SSL EV,4,3220
47,3232,SSL OV,4,3220
48,3235,MKE SSL Certificates,4,3220
49,3238,SSL Certificates,4,4931
50,3241,STACK,2,3046
51,3244,Free STACK,3,3241
52,3247,Free STACK,4,4874
53,3250,Paid STACK,3,3241
54,3253,10 TB,4,3250
55,3256,1000 GB,4,3250
56,3259,10000 GB,4,3250
57,3262,11000 GB,4,3250
58,3265,1250 GB,4,3250
59,3268,2 TB,4,3250
60,3271,2000 GB,4,3250
