,name,name_parent,depth
0,Domeinregistratie .be,Domains .be,3.0
1,Domeinregistratie .be,Domains .be,3.0
2,.be,Domains .be,3.0
3,Domeinregistratie .BE,Domains .be,3.0
4,Een DDS Domein met .be extensie,Domains .be,3.0
5,.be,Domains .be,3.0
6,Domain registration .be,Domains .be,3.0
7,Houderwijziging .be,CHOWN,4.0
8,Houderwijziging .be,CHOWN,4.0
9,Change of registrant details .be,CHOWN,4.0
10,Firewall - Standard (per maand),Connectivity Managed Services,3.0
11,Wireless LAN Controller (tot 20 APs) (per maand),Connectivity Managed Services,3.0
12,Hosted Firewall (per maand),Connectivity Managed Services,3.0
13,Wireless Access Point - Controller Based (per maand),Connectivity Managed Services,3.0
14,Firewall - Advanced ( per maand),Connectivity Managed Services,3.0
15,Hosted Fortinet Firewall ( per maand),Connectivity Managed Services,3.0
16,Wireless Access Point - Controller Based (Cisco) (per maand),Connectivity Managed Services,3.0
17,Firewall - Advanced (Fortigate 100D HA Cluster) (per maand),Connectivity Managed Services,3.0
18,"10 telefoonnummers
<xxx-xxxxxxx t/m xxx-xxxxxxx>",Telecom Services,2.0
19,"100 telefoonnummers
<xxx-xxxxxxx t/m xxx-xxxxxxx>",Telecom Services,2.0
20,"1 telefoonnummer
<xxx-xxxxxxx>",Telecom Services,2.0
21,Domeinregistratie .be,Domains,1.0
22,Domeinregistratie .pt,Domains,1.0
23,Domeinregistratie .estate,Domains,1.0
24,Domeinregistratie .graphics,Domains,1.0
25,Domeinregistratie .lighting,Domains,1.0
26,Domeinregistratie .shoes,Domains,1.0
27,Domeinregistratie .menu,Domains,1.0
28,Domeinregistratie .codes,Domains,1.0
29,Domeinregistratie .agency,Domains,1.0
30,Domeinregistratie .community,Domains,1.0
31,Domeinregistratie .supply,Domains,1.0
32,Domeinregistratie .services,Domains,1.0
33,Domeinregistratie .capital,Domains,1.0
34,Domeinregistratie .limited,Domains,1.0
35,Domeinregistratie .fitness,Domains,1.0
36,Domeinregistratie .audio,Domains,1.0
37,Domeinregistratie .lgbt,Domains,1.0
38,Domeinregistratie .delivery,Domains,1.0
39,Domeinregistratie .party,Domains,1.0
40,Domeinregistratie .legal,Domains,1.0
41,Domeinregistratie .show,Domains,1.0
42,Domain registration .at,Domains,1.0
43,Domain registration .es,Domains,1.0
44,Domeinregistratie .fr,Domains,1.0
45,Domeinregistratie .com,Domains,1.0
46,Doorstuurservice,Domains,1.0
47,Domeinregistratie .be,Domains,1.0
48,Domeinregistratie .tools,Domains,1.0
49,Domain registration .beer,Domains,1.0
50,Trustee Service .fr,Domains,1.0
51,Domeinregistratie .surf,Domains,1.0
52,Domeinregistratie .co.uk,Domains,1.0
53,Domeinregistratie .tube,Domains,1.0
54,Domeinregistratie .shopping,Domains,1.0
55,Domeinregistratie .art,Domains,1.0
56,Een DDS Domein met .net extensie,Domains,1.0
57,Domeinregistratie .JP,Domains,1.0
58,Domain registration .EQUIPMENT,Domains,1.0
59,Domain registration .TECHNOLOGY,Domains,1.0
60,Domain registration .TIPS,Domains,1.0
61,Domain registration .COMPANY,Domains,1.0
62,Domain registration .SOLUTIONS,Domains,1.0
63,Domain registration .PICS,Domains,1.0
64,Domain registration .KIM,Domains,1.0
65,Domain registration .JETZT,Domains,1.0
66,Domain registration .EVENTS,Domains,1.0
67,Domain registration .BAR,Domains,1.0
68,Domain registration .CAPITAL,Domains,1.0
69,Domain registration .INSURE,Domains,1.0
70,Domain registration .CHURCH,Domains,1.0
71,Domain registration .DEALS,Domains,1.0
72,Domain registration .LAWYER,Domains,1.0
73,Domain registration .MONEY,Domains,1.0
