"Transaction","Item"
100,"cpu_load_mean_m_3=(8.91,21.3]"
100,"disk_octets_read_mean_m_3=(4.52,185]"
100,"disk_octets_write_mean_m_3=[0,0.525]"
100,"disk_ops_read_mean_m_3=(196,3.06e+03]"
100,"disk_ops_write_mean_m_3=[0,8.28]"
100,"network_rx_mean_m_3=[0,0.109]"
100,"network_tx_mean_m_3=[0,0.0331]"
100,"cpu_load_monthly_mean_delta=(2.18,24.7]"
100,"network_tx_monthly_mean_delta=(-0.00194,0.0454]"
100,"network_rx_monthly_mean_delta=(-0.0659,0.00219]"
100,"disk_ops_read_monthly_mean_delta=(12.2,701]"
100,"disk_ops_write_monthly_mean_delta=(3.95,163]"
100,"disk_octets_write_monthly_mean_delta=(0.0594,0.252]"
100,"disk_octets_read_monthly_mean_delta=(0.3,38.6]"
100,"cpu_load_max_gradient=(0.0518,0.89]"
100,"disk_octets_read_max_gradient=(0.0087,1.74]"
100,"disk_octets_write_max_gradient=(0.0012,0.00662]"
100,"disk_ops_read_max_gradient=(0.36,18.8]"
100,"disk_ops_write_max_gradient=(0.103,6.43]"
100,"network_rx_max_gradient=(-0.00237,3.93e-05]"
100,"network_tx_max_gradient=(-3.81e-05,0.000995]"
100,"is_churn=1"
101,"cpu_load_mean_m_3=(8.91,21.3]"
101,"disk_octets_read_mean_m_3=[0,0.149]"
101,"disk_octets_write_mean_m_3=[0,0.525]"
101,"disk_ops_read_mean_m_3=[0,6.3]"
101,"disk_ops_write_mean_m_3=[0,8.28]"
101,"network_rx_mean_m_3=[0,0.109]"
101,"network_tx_mean_m_3=(0.231,1.27]"
101,"cpu_load_monthly_mean_delta=[-95.4,-0.816]"
101,"network_tx_monthly_mean_delta=[-10.5,-0.0927]"
101,"network_rx_monthly_mean_delta=(0.00219,0.1]"
101,"disk_ops_read_monthly_mean_delta=(-3.84,0.852]"
101,"disk_ops_write_monthly_mean_delta=(-1.54,0.591]"
