Transaction,Item
100,cpu_load_mean_m_3=medium
100,disk_octets_read_mean_m_3=high
100,disk_octets_write_mean_m_3=low
100,disk_ops_read_mean_m_3=high
100,disk_ops_write_mean_m_3=low
100,network_rx_mean_m_3=low
100,network_tx_mean_m_3=low
100,cpu_load_monthly_mean_delta=high
100,network_tx_monthly_mean_delta=medium
100,network_rx_monthly_mean_delta=medium
100,disk_ops_read_monthly_mean_delta=high
100,disk_ops_write_monthly_mean_delta=high
100,disk_octets_write_monthly_mean_delta=medium
100,disk_octets_read_monthly_mean_delta=high
100,cpu_load_max_gradient=high
100,disk_octets_read_max_gradient=high
100,disk_octets_write_max_gradient=high
100,disk_ops_read_max_gradient=high
100,disk_ops_write_max_gradient=high
100,network_rx_max_gradient=medium
100,network_tx_max_gradient=medium
100,is_churn=1
101,cpu_load_mean_m_3=medium
101,disk_octets_read_mean_m_3=low
101,disk_octets_write_mean_m_3=low
101,disk_ops_read_mean_m_3=low
101,disk_ops_write_mean_m_3=low
101,network_rx_mean_m_3=low
101,network_tx_mean_m_3=medium
101,cpu_load_monthly_mean_delta=low
101,network_tx_monthly_mean_delta=low
101,network_rx_monthly_mean_delta=medium
101,disk_ops_read_monthly_mean_delta=medium
101,disk_ops_write_monthly_mean_delta=medium
101,disk_octets_write_monthly_mean_delta=low
101,disk_octets_read_monthly_mean_delta=low
101,cpu_load_max_gradient=medium
101,disk_octets_read_max_gradient=low
101,disk_octets_write_max_gradient=low
101,disk_ops_read_max_gradient=low
101,disk_ops_write_max_gradient=low
101,network_rx_max_gradient=medium
101,network_tx_max_gradient=low
101,is_churn=0
102,cpu_load_mean_m_3=high
102,disk_octets_read_mean_m_3=high
102,disk_octets_write_mean_m_3=high
102,disk_ops_read_mean_m_3=high
102,disk_ops_write_mean_m_3=high
102,network_rx_mean_m_3=high
102,network_tx_mean_m_3=high
102,cpu_load_monthly_mean_delta=high
102,network_tx_monthly_mean_delta=low
102,network_rx_monthly_mean_delta=low
102,disk_ops_read_monthly_mean_delta=low
102,disk_ops_write_monthly_mean_delta=low
102,disk_octets_write_monthly_mean_delta=low
102,disk_octets_read_monthly_mean_delta=low
102,cpu_load_max_gradient=high
102,disk_octets_read_max_gradient=low
102,disk_octets_write_max_gradient=low
102,disk_ops_read_max_gradient=low
102,disk_ops_write_max_gradient=low
102,network_rx_max_gradient=low
102,network_tx_max_gradient=low
102,is_churn=0
103,cpu_load_mean_m_3=medium
103,disk_octets_read_mean_m_3=low
103,disk_octets_write_mean_m_3=medium
103,disk_ops_read_mean_m_3=low
103,disk_ops_write_mean_m_3=low
103,network_rx_mean_m_3=low
103,network_tx_mean_m_3=low
103,cpu_load_monthly_mean_delta=low
103,network_tx_monthly_mean_delta=medium
103,network_rx_monthly_mean_delta=medium
103,disk_ops_read_monthly_mean_delta=low
103,disk_ops_write_monthly_mean_delta=medium
103,disk_octets_write_monthly_mean_delta=medium
103,disk_octets_read_monthly_mean_delta=low
103,cpu_load_max_gradient=low
103,disk_octets_read_max_gradient=low
103,disk_octets_write_max_gradient=medium
103,disk_ops_read_max_gradient=low
103,disk_ops_write_max_gradient=medium
103,network_rx_max_gradient=medium
103,network_tx_max_gradient=medium
103,is_churn=1
