,id,name,depth,parentCategoryId
0,2905,DirectAdmin,4,4754
1,2908,Other Licenses,4,4745
2,2911,Plesk,4,4757
3,2914,Sophos,4,4748
4,3013,Openstack,3,5093
5,3022,VPS,3,4946
6,3052,Domain registration others,3,4688
7,3103,Domains .be,3,4688
8,3115,Domains .com,3,4688
9,3127,Domains .eu,3,4688
10,3139,Domains .nl,3,4688
11,3154,CHOWN,4,4700
12,3160,Redemption,4,4703
13,3166,Whitelabel,4,4709
14,3184,E-mail,2,4865
15,3190,E-mail,4,4579
16,3211,Forwarding,3,4691
17,3214,Forwarding,4,3211
18,3217,SSL Certificates,2,4718
19,3238,SSL Certificates,4,4931
20,3247,Free STACK,4,4874
21,3319,Webhosting,4,4925
22,3346,Subaccount,3,4934
23,3349,Extra HD space,3,4934
24,3352,PHP/MySQL,3,4934
25,3373,Back-ups,4,4826
26,3409,?,4,4679
27,3475,Extra IP address,3,4970
28,3478,Extra IP address,4,3475
29,3511,Power,4,4973
30,3526,Upgrade Data Traffic,3,4970
31,3529,Upgrade Data Traffic,4,3526
32,3577,?,2,3595
33,3580,Dedicated Server,4,4730
34,3595,?,1,0
35,3601,Back-up Services,2,4961
36,3604,Back-up Services,3,3601
37,3607,Back-up Services,4,3604
38,3619,Service Level,3,4964
39,3622,Service Level,4,3619
40,3625,Services,3,4964
41,3628,Services,4,3625
42,3646,ADSL,3,5003
43,3652,Connectivity Managed Services,3,4612
44,3655,Managed Networking,4,3652
45,4399,Managed Server,3,4396
46,4402,Managed Server,4,4399
47,4411,Telecom,1,0
48,4414,Telecom Services,2,4411
49,4417,Telephony,3,4414
50,4540,Webhosting Legacy,4,4925
51,4570,Connectivity Legacy,3,5003
52,4579,E-mail,3,3184
53,4679,?,3,3577
54,4685,Domains,1,0
55,4688,Domain Registrations,2,4685
56,4691,Domain Services,2,4685
57,4700,CHOWN,3,4691
58,4703,Redemption,3,4691
59,4709,Whitelabel,3,4691
60,4712,Domain Services,3,4691
61,4715,Domain Services,4,4712
62,4718,Hosting,1,0
63,4721,Webhosting Services,2,4718
64,4724,Webhosting Services,3,4721
65,4727,Dedicated Server,2,4718
66,4730,Dedicated Server,3,4727
67,4733,Extra HD space,4,3349
68,4736,Subaccount,4,3346
69,4739,PHP/MySQL,4,3352
70,4742,Licenses,2,4937
71,4745,Other Licenses,3,4742
72,4748,Sophos,3,4742
73,4751,Microsoft,3,4742
74,4754,DirectAdmin,3,4742
75,4757,Plesk,3,4742
76,4760,CPanel,3,4742
77,4763,CPanel,4,4760
78,4772,Network,2,4937
79,4781,Private Network,3,4772
80,4784,Private Network,4,4781
81,4787,HA-IP,3,4772
82,4790,HA-IP,4,4787
83,4793,Storage,2,4937
84,4802,Snapshots,3,4793
85,4805,Snapshots,4,4802
86,4808,Big Storage,3,4793
87,4811,Big Storage,4,4808
88,4814,VPS Add-ons,4,4958
89,4820,OpenStack,4,3013
90,4823,Back-ups,2,4937
91,4826,Back-ups,3,4823
92,4829,Managed Networking,2,4961
93,4838,Managed Hardware,3,4829
94,4841,Managed Hardware,4,4838
95,4847,Extra Fiber / UTP,4,4979
96,4850,Colocation,4,4985
97,4859,SLA,3,4991
98,4862,SLA,4,4859
99,4865,Cloud Applications,1,0
100,4868,E-mail Services,2,4865
101,4871,Filehosting,2,4865
102,4874,STACK,3,4871
103,4877,Paid STACK,4,4874
104,4880,Hosted Exchange,2,4865
105,4883,Hosted Exchange,3,4880
106,4886,Hosted Exchange,4,4883
107,4889,Connectivity Legacy,4,4570
108,4892,ADSL,4,3646
109,4895,Other,1,0
110,4898,Other,2,4895
111,4901,Other,3,4898
112,4904,Other,4,4901
113,4907,Domain registration others,4,3052
114,4910,Domains .nl,4,3139
115,4913,Domains .eu,4,3127
116,4916,Domains .be,4,3103
117,4919,Domains .com,4,3115
118,4922,Webhosting,2,4718
119,4925,Webhosting,3,4922
120,4928,Webhosting Services,4,4724
121,4931,SSL Certificates,3,3217
122,4934,Webhosting Add-ons,2,4718
123,4937,Cloud Computing,1,0
124,4940,Microsoft,4,4751
125,4946,VPS,2,4937
126,4949,VPS,4,3022
127,4952,VPS Overusage,4,3022
128,4955,VPS Add-ons,2,4937
129,4958,VPS Add-ons,3,4955
130,4961,Managed Services,1,0
131,4964,Managed Server,2,4961
132,4967,Colocation,1,0
133,4970,Colocation Add-ons,2,4967
134,4973,Power,3,4970
135,4979,Extra Fiber / UTP,3,4970
136,4982,Colocation,2,4967
137,4985,Colocation,3,4982
138,4991,SLA,2,4967
139,4994,E-mail Services,3,4868
140,4997,E-mail Services,4,4994
141,5000,Connectivity,1,0
142,5003,Connectivity Services,2,5000
143,5006,Internet Services,3,5003
144,5009,Internet Access,4,5006
145,5015,Infrastructure,2,5000
146,5018,Fiber,3,5015
147,5021,Fiber Ethernet Virtual Circuit (EVC),4,5018
148,5024,Subscriptions,4,4417
149,5032,Storage,3,4793
150,5035,Storage,4,5032
151,5041,Managed Services,2,4961
152,5044,Managed Services,3,5041
153,5047,Managed Services,4,5044
154,5054,Trustee service,4,5057
155,5057,Trustee service,3,4691
156,5063,Managed Hosting,2,4961
157,5066,Managed Ecommerce,3,5063
158,5069,Excellence Hosting,4,5066
159,5072,Professional Hosting,4,5066
160,5081,Managed Hosting Addon,3,5063
161,5087,Managed Ecommerce,4,5066
162,5090,Managed Hosting SLA,4,5081
163,5096,Legacy Managed Hosting,3,5063
164,5099,Legacy Managed Hosting,4,5096
