id,cpu_load_mean_m_3,disk_octets_read_mean_m_3,disk_octets_write_mean_m_3,disk_ops_read_mean_m_3,disk_ops_write_mean_m_3,network_rx_mean_m_3,network_tx_mean_m_3,cpu_load_monthly_mean_delta,network_tx_monthly_mean_delta,network_rx_monthly_mean_delta,disk_ops_read_monthly_mean_delta,disk_ops_write_monthly_mean_delta,disk_octets_write_monthly_mean_delta,disk_octets_read_monthly_mean_delta,cpu_load_max_gradient,disk_octets_read_max_gradient,disk_octets_write_max_gradient,disk_ops_read_max_gradient,disk_ops_write_max_gradient,network_rx_max_gradient,network_tx_max_gradient,is_churn
100,13.37989247,38.82583205,0.11851402,336.69720430,6.77032258,0.01612843,0.01171808,9.93544803,0.00178400,-0.00083925,331.68498210,5.18743369,0.09822835,38.59628038,0.44565168,1.74435668,0.00463981,14.46249656,0.22755614,-0.00003440,0.00005590,1
101,16.90204301,0.00328473,0.33609133,0.08150538,2.79397850,0.04812798,0.44380426,-3.97190143,-0.14906840,0.00761928,-0.18960574,0.16231183,-0.00070227,-0.01781286,-0.00172695,-0.00059626,-0.00006430,-0.00633933,-0.00207351,0.00009500,-0.00434225,0
102,248.93591400,19.37152776,31.97102730,213.16032260,194.55827960,1.72831136,1.35480347,9.67491398,-0.19059860,-0.33151170,-22.40323297,-26.08083154,-2.34339560,-0.53592374,0.37335290,-0.01865949,-0.07624555,-0.16357924,-0.44157712,-0.02173184,-0.00538242,0
103,14.05419355,0.10182502,0.99700527,2.18870968,9.63483871,0.08254686,0.00850134,-0.86152867,-0.00713390,-0.00040140,-7.24773477,-0.05549462,0.05448654,-0.07235670,-0.03158981,-0.00180007,0.00328335,-0.20777508,0.01796263,0.00071597,-0.00031719,1
104,85.79333333,15.49345957,14.87482307,280.23193550,9.59537634,0.01669605,0.17150479,-3.55555556,-0.06342757,-0.00248126,-3.42950896,-0.67784588,-0.46046894,-0.43877029,-0.09440948,-0.01649244,-0.01788293,-0.15304266,-0.02211370,-0.00011261,-0.00242201,0
105,39.39430108,11.36519674,20.15318192,793.13655910,55.02000000,9.81798408,2.11235768,14.84707885,1.93625702,9.32541841,-123.13777420,-0.95266667,17.10998272,7.60239588,0.39098123,0.24210812,0.54836924,-4.40403032,0.19133439,0.24408652,0.02221419,0
106,1.28827957,0.00176921,0.01957315,0.19440860,2.79172043,0.01397925,0.01018852,0.13627957,0.00105678,0.00239997,0.12140860,-0.05672401,-0.00070387,0.00125630,0.00357677,0.00004900,-0.00001100,0.00546924,-0.00000353,0.00008140,0.00005370,0
107,79.78838710,27.30295340,1.74994201,661.11978490,48.61720430,0.57352799,7.73040204,-3.29394624,1.31905307,0.05848467,-190.37532620,12.24620430,0.10392754,-5.55319343,-0.12018562,-0.08486756,-0.00109747,-4.91150626,0.46792773,0.00051714,-0.00990854,0
108,68.25311828,18.10863666,16.83327923,512.98741940,119.58301080,0.75418613,3.23713277,4.85734050,2.42738478,0.00059457,21.21730824,7.73912186,0.32938294,0.61429844,0.15259501,0.01884964,0.01403307,0.60892914,0.20804865,-0.00009650,0.08594935,0
109,8.86677419,1.17613777,1.26784677,21.85000000,7.38258065,0.05628370,2.06253868,-5.45128136,1.68229014,-0.09734687,21.14188889,0.25391398,0.85450485,1.14583966,-0.26044350,0.01470430,0.00580089,0.27011282,-0.08294888,-0.00238309,0.01816471,1
