term,step,estimate,lambda,dev.ratio
(Intercept),65,-2.9598478626245472,7.884971014587216e-4,0.9798479368341533
at,65,0.004517396613631536,7.884971014587216e-4,0.9798479368341533
table,65,3.547485075065756,7.884971014587216e-4,0.9798479368341533
the,65,4.213444479342516,7.884971014587216e-4,0.9798479368341533
of,65,3.0091254514439334,7.884971014587216e-4,0.9798479368341533
and,65,3.963202118581271,7.884971014587216e-4,0.9798479368341533
over,65,0.8673322592515873,7.884971014587216e-4,0.9798479368341533
this,65,3.839810433521806,7.884971014587216e-4,0.9798479368341533
like,65,3.4473866515396625,7.884971014587216e-4,0.9798479368341533
my,65,2.713915197622521,7.884971014587216e-4,0.9798479368341533
thou,65,1.5359863038571655,7.884971014587216e-4,0.9798479368341533
all,65,0.9501791997700093,7.884971014587216e-4,0.9798479368341533
he,65,2.109287676828411,7.884971014587216e-4,0.9798479368341533
in,65,3.430750666658255,7.884971014587216e-4,0.9798479368341533
to,65,0.6063255202957321,7.884971014587216e-4,0.9798479368341533
who,65,0.7677009660446326,7.884971014587216e-4,0.9798479368341533
castle,65,4.318335036302726,7.884971014587216e-4,0.9798479368341533
with,65,3.672547013013558,7.884971014587216e-4,0.9798479368341533
as,65,0.9997069649494981,7.884971014587216e-4,0.9798479368341533
by,65,0.08903903234068121,7.884971014587216e-4,0.9798479368341533
me,65,1.3982802781794874,7.884971014587216e-4,0.9798479368341533
i,65,-0.9548693314540934,7.884971014587216e-4,0.9798479368341533
raised,65,0.1902775228785925,7.884971014587216e-4,0.9798479368341533
when,65,1.4548253918863154,7.884971014587216e-4,0.9798479368341533
for,65,3.5960362295236514,7.884971014587216e-4,0.9798479368341533
so,65,0.9169123253933187,7.884971014587216e-4,0.9798479368341533
us,65,0.7316163807765499,7.884971014587216e-4,0.9798479368341533
our,65,2.34834530839298,7.884971014587216e-4,0.9798479368341533
grain,65,0.1059503191318017,7.884971014587216e-4,0.9798479368341533
a,65,0.8349941066361851,7.884971014587216e-4,0.9798479368341533
is,65,2.7059262641925845,7.884971014587216e-4,0.9798479368341533
green,65,1.7561546523411193,7.884971014587216e-4,0.9798479368341533
there,65,0.07751032126396341,7.884971014587216e-4,0.9798479368341533
which,65,1.1130166695593047,7.884971014587216e-4,0.9798479368341533
quiet,65,0.11666326161871782,7.884971014587216e-4,0.9798479368341533
trees,65,4.477988104921718,7.884971014587216e-4,0.9798479368341533
low,65,3.2342200958727,7.884971014587216e-4,0.9798479368341533
such,65,0.8624936265655625,7.884971014587216e-4,0.9798479368341533
years,65,0.36531023100397797,7.884971014587216e-4,0.9798479368341533
but,65,1.325065014090307,7.884971014587216e-4,0.9798479368341533
mansion,65,2.0429778199962385,7.884971014587216e-4,0.9798479368341533
from,65,3.1337130293829345,7.884971014587216e-4,0.9798479368341533
they,65,0.8454362933910538,7.884971014587216e-4,0.9798479368341533
were,65,0.034297122132546494,7.884971014587216e-4,0.9798479368341533
against,65,3.8349198519973107,7.884971014587216e-4,0.9798479368341533
it,65,3.135494720213323,7.884971014587216e-4,0.9798479368341533
that,65,1.7604167240786657,7.884971014587216e-4,0.9798479368341533
house,65,1.1399775916577481,7.884971014587216e-4,0.9798479368341533
not,65,2.561697018511839,7.884971014587216e-4,0.9798479368341533
was,65,1.0252572377182125,7.884971014587216e-4,0.9798479368341533
one,65,0.6063432606874181,7.884971014587216e-4,0.9798479368341533
black,65,1.2341520604477352,7.884971014587216e-4,0.9798479368341533
his,65,3.205528045413123,7.884971014587216e-4,0.9798479368341533
into,65,0.04403184474028098,7.884971014587216e-4,0.9798479368341533
opened,65,1.0877197707491093,7.884971014587216e-4,0.9798479368341533
had,65,0.24058703508097853,7.884971014587216e-4,0.9798479368341533
ancient,65,0.7627802133354021,7.884971014587216e-4,0.9798479368341533
upon,65,1.5400273274038438,7.884971014587216e-4,0.9798479368341533
two,65,0.21742428846698258,7.884971014587216e-4,0.9798479368341533
or,65,0.6410232891431147,7.884971014587216e-4,0.9798479368341533
him,65,2.3388748208524386,7.884971014587216e-4,0.9798479368341533
their,65,3.6094648159003206,7.884971014587216e-4,0.9798479368341533
them,65,3.3625741572574186,7.884971014587216e-4,0.9798479368341533
already,65,1.0340230684176412,7.884971014587216e-4,0.9798479368341533
even,65,0.4440563158756349,7.884971014587216e-4,0.9798479368341533
eyes,65,0.23919429180439486,7.884971014587216e-4,0.9798479368341533
room,65,0.5402213374314069,7.884971014587216e-4,0.9798479368341533
have,65,1.1898082341973706,7.884971014587216e-4,0.9798479368341533
full,65,1.3054693117642424,7.884971014587216e-4,0.9798479368341533
she,65,0.8342603174609446,7.884971014587216e-4,0.9798479368341533
little,65,0.1891328898746265,7.884971014587216e-4,0.9798479368341533
you,65,2.7686450506113878,7.884971014587216e-4,0.9798479368341533
some,65,0.8559224324257075,7.884971014587216e-4,0.9798479368341533
window,65,4.270335020597102,7.884971014587216e-4,0.9798479368341533
her,65,1.0328539993421557,7.884971014587216e-4,0.9798479368341533
lithuanian,65,1.684982564382321,7.884971014587216e-4,0.9798479368341533
shoulders,65,0.4733541552874142,7.884971014587216e-4,0.9798479368341533
never,65,0.27888671486685557,7.884971014587216e-4,0.9798479368341533
out,65,1.2516891033050281,7.884971014587216e-4,0.9798479368341533
wall,65,4.52231758788676,7.884971014587216e-4,0.9798479368341533
child,65,4.202600469064195,7.884971014587216e-4,0.9798479368341533
shame,65,3.198658597651047,7.884971014587216e-4,0.9798479368341533
an,65,1.6289328037367805,7.884971014587216e-4,0.9798479368341533
fashion,65,4.325827617253758,7.884971014587216e-4,0.9798479368341533
horse,65,4.171398157896826,7.884971014587216e-4,0.9798479368341533
come,65,0.0010021954150663363,7.884971014587216e-4,0.9798479368341533
put,65,0.6632092227163424,7.884971014587216e-4,0.9798479368341533
ready,65,0.3705674929891688,7.884971014587216e-4,0.9798479368341533
began,65,2.066066307008475,7.884971014587216e-4,0.9798479368341533
very,65,1.9147500728512115,7.884971014587216e-4,0.9798479368341533
called,65,2.3811643447944655,7.884971014587216e-4,0.9798479368341533
man,65,0.8209548585332606,7.884971014587216e-4,0.9798479368341533
thaddeus,65,3.6893494976991232,7.884971014587216e-4,0.9798479368341533
young,65,2.597648341771544,7.884971014587216e-4,0.9798479368341533
time,65,2.9904301908219386,7.884971014587216e-4,0.9798479368341533
your,65,2.1395458908512497,7.884971014587216e-4,0.9798479368341533
court,65,1.62392476493834,7.884971014587216e-4,0.9798479368341533
are,65,1.972557065703009,7.884971014587216e-4,0.9798479368341533
if,65,1.6764375107542746,7.884971014587216e-4,0.9798479368341533
forest,65,0.22033635464177823,7.884971014587216e-4,0.9798479368341533
above,65,0.6844281281299814,7.884971014587216e-4,0.9798479368341533
among,65,1.1554934803089913,7.884971014587216e-4,0.9798479368341533
judge,65,2.970664992301854,7.884971014587216e-4,0.9798479368341533
will,65,0.18234633601096722,7.884971014587216e-4,0.9798479368341533
gentlemen,65,2.4409348066208123,7.884971014587216e-4,0.9798479368341533
thought,65,0.11569767893057016,7.884971014587216e-4,0.9798479368341533
go,65,-0.16182730392713945,7.884971014587216e-4,0.9798479368341533
short,65,0.5798217485747725,7.884971014587216e-4,0.9798479368341533
together,65,3.9520569913115646,7.884971014587216e-4,0.9798479368341533
protazy,65,0.5762578804354874,7.884971014587216e-4,0.9798479368341533
do,65,-1.1515745217113078,7.884971014587216e-4,0.9798479368341533
more,65,3.2108066884304827,7.884971014587216e-4,0.9798479368341533
take,65,0.8675838659995838,7.884971014587216e-4,0.9798479368341533
finally,65,3.581355116081158,7.884971014587216e-4,0.9798479368341533
said,65,1.3114008129157217,7.884971014587216e-4,0.9798479368341533
between,65,0.7211511356348148,7.884971014587216e-4,0.9798479368341533
every,65,3.734899936103819,7.884971014587216e-4,0.9798479368341533
love,65,4.054978676788755,7.884971014587216e-4,0.9798479368341533
must,65,0.3258419332554018,7.884971014587216e-4,0.9798479368341533
myself,65,0.4676540394465738,7.884971014587216e-4,0.9798479368341533
spoke,65,0.8990141898099443,7.884971014587216e-4,0.9798479368341533
thus,65,2.1788549175338328,7.884971014587216e-4,0.9798479368341533
ten,65,-0.20499542526443068,7.884971014587216e-4,0.9798479368341533
father,65,0.1519935858116722,7.884971014587216e-4,0.9798479368341533
ever,65,1.0889847087670383,7.884971014587216e-4,0.9798479368341533
others,65,0.3794089496314448,7.884971014587216e-4,0.9798479368341533
while,65,2.856377315822687,7.884971014587216e-4,0.9798479368341533
nor,65,0.1547793761910413,7.884971014587216e-4,0.9798479368341533
always,65,0.9003452664149073,7.884971014587216e-4,0.9798479368341533
speech,65,4.274795011551282,7.884971014587216e-4,0.9798479368341533
pan,65,-0.7822995944941004,7.884971014587216e-4,0.9798479368341533
times,65,0.11952849149973055,7.884971014587216e-4,0.9798479368341533
within,65,0.6754009751670726,7.884971014587216e-4,0.9798479368341533
tail,65,4.104073102332618,7.884971014587216e-4,0.9798479368341533
saying,65,4.361955401966038,7.884971014587216e-4,0.9798479368341533
perhaps,65,1.9653581344103364,7.884971014587216e-4,0.9798479368341533
something,65,1.279289109793562,7.884971014587216e-4,0.9798479368341533
whom,65,2.3610582223634573,7.884971014587216e-4,0.9798479368341533
o,65,-0.7667822151128654,7.884971014587216e-4,0.9798479368341533
used,65,0.5821043795115486,7.884971014587216e-4,0.9798479368341533
line,65,4.52480509010967,7.884971014587216e-4,0.9798479368341533
later,65,0.026784218248535094,7.884971014587216e-4,0.9798479368341533
soplicas,65,5.069108366395602,7.884971014587216e-4,0.9798479368341533
estate,65,0.3633000963735349,7.884971014587216e-4,0.9798479368341533
rose,65,4.450616814720281,7.884971014587216e-4,0.9798479368341533
another,65,0.13751822478173126,7.884971014587216e-4,0.9798479368341533
forth,65,0.2572810704378652,7.884971014587216e-4,0.9798479368341533
let,65,1.8711554009210167,7.884971014587216e-4,0.9798479368341533
right,65,1.593292636827985,7.884971014587216e-4,0.9798479368341533
hunting,65,4.061407118823211,7.884971014587216e-4,0.9798479368341533
horn,65,1.26434724932295,7.884971014587216e-4,0.9798479368341533
snuffbox,65,0.09796784682854079,7.884971014587216e-4,0.9798479368341533
open,65,0.0763118965600172,7.884971014587216e-4,0.9798479368341533
hunt,65,3.971116134796888,7.884971014587216e-4,0.9798479368341533
present,65,0.2835016068993057,7.884971014587216e-4,0.9798479368341533
interrupted,65,0.8005642992979721,7.884971014587216e-4,0.9798479368341533
night,65,4.296844829150697,7.884971014587216e-4,0.9798479368341533
belt,65,4.013169711150506,7.884971014587216e-4,0.9798479368341533
shouted,65,3.461187164503416,7.884971014587216e-4,0.9798479368341533
jest,65,-0.620619627006667,7.884971014587216e-4,0.9798479368341533
think,65,0.32959135900630077,7.884971014587216e-4,0.9798479368341533
different,65,0.35187110302829155,7.884971014587216e-4,0.9798479368341533
prince,65,0.5469776894725155,7.884971014587216e-4,0.9798479368341533
forests,65,4.326517862991284,7.884971014587216e-4,0.9798479368341533
skin,65,0.9258601153208706,7.884971014587216e-4,0.9798479368341533
shoot,65,0.309692462465236,7.884971014587216e-4,0.9798479368341533
tobacco,65,2.475433316808668,7.884971014587216e-4,0.9798479368341533
się,65,-1.782429904470658,7.884971014587216e-4,0.9798479368341533
u,65,-0.7383882633512444,7.884971014587216e-4,0.9798479368341533
w,65,-2.068942861122913,7.884971014587216e-4,0.9798479368341533
